Seq,Gender,M,R,F,FirstPurch,ChildBks,YouthBks,CookBks,DoItYBks,RefBks,ArtBks,GeoBks,ItalCook,ItalAtlas,ItalArt,Related purchase,Florence
1,1,477,20,12,68,2,1,5,0,0,1,3,1,0,0,5,0
2,1,475,4,12,52,4,0,2,2,1,0,1,0,0,0,1,0
3,0,472,8,12,58,4,0,3,1,1,0,0,0,0,1,1,0
4,1,466,8,12,62,2,1,4,0,0,1,3,1,1,0,6,0
5,0,465,6,12,74,0,3,2,3,1,0,1,0,0,0,1,0
6,1,465,16,12,84,3,2,1,2,0,0,1,0,0,0,1,0
7,1,463,10,12,42,2,1,3,1,0,0,1,0,0,0,1,0
8,1,461,10,11,66,3,0,2,2,0,1,1,0,0,0,2,0
9,1,460,14,12,84,1,5,3,1,1,0,1,0,0,0,1,0
10,1,459,6,11,32,0,0,4,0,0,0,4,0,0,0,4,0
11,1,458,10,12,44,1,0,3,1,1,2,0,2,1,1,6,1
12,1,458,6,11,48,3,0,1,1,1,2,0,1,0,1,4,0
13,1,457,10,12,36,3,0,4,0,0,0,4,0,0,0,4,0
14,1,456,16,11,78,2,0,2,4,1,2,0,0,0,0,2,0
15,1,456,8,11,46,1,0,5,0,1,0,0,0,0,0,0,0
16,1,455,6,11,50,2,2,3,0,1,0,2,0,0,0,2,0
17,0,455,12,11,66,2,0,3,4,0,0,1,1,0,0,2,0
18,1,454,30,11,64,3,1,2,0,0,2,3,1,0,1,7,0
19,1,452,10,12,60,3,1,2,1,0,0,1,0,0,0,1,0
20,0,451,6,11,68,2,2,2,0,2,0,0,1,1,0,2,0
21,0,451,14,11,80,1,2,5,0,0,1,2,0,0,0,3,0
22,0,450,16,11,42,2,2,3,3,1,0,1,1,0,1,3,0
23,1,450,2,12,32,3,1,1,0,1,0,1,0,1,0,2,0
24,1,448,12,12,48,4,5,1,0,0,1,0,1,0,1,3,0
25,1,445,12,12,56,3,1,5,0,0,0,0,0,0,1,1,0
26,1,445,16,12,68,4,2,1,1,1,0,0,0,0,0,0,0
27,0,444,16,10,38,3,2,3,0,1,0,1,0,0,0,1,0
28,1,444,8,11,36,3,0,1,2,0,0,1,0,0,0,1,0
29,1,442,14,10,40,0,3,3,1,0,0,1,0,0,0,1,0
30,0,442,26,12,88,1,1,3,3,1,0,1,0,0,1,2,0
31,1,441,10,12,72,2,1,0,2,1,2,3,0,0,0,5,1
32,0,439,2,10,22,1,0,0,0,0,0,0,0,0,0,0,0
33,0,438,12,11,76,4,0,2,4,0,0,0,1,0,0,1,0
34,1,437,2,11,42,2,0,1,0,0,0,1,0,0,0,1,1
35,0,434,24,10,44,2,0,3,3,1,0,1,0,2,0,3,0
36,1,432,12,11,76,3,2,2,0,0,1,2,0,0,0,3,0
37,0,432,16,10,64,1,1,2,1,0,0,0,0,0,0,0,0
38,1,431,8,10,60,2,1,3,0,0,0,1,0,0,0,1,0
39,1,431,14,11,70,1,3,4,1,0,0,3,0,0,0,3,0
40,1,429,14,11,74,3,2,2,1,1,0,0,1,0,0,1,0
41,1,428,10,9,48,2,1,2,2,1,0,0,0,0,0,0,0
42,1,427,20,10,54,5,0,2,0,0,0,3,0,1,0,4,0
43,0,425,12,10,64,1,0,3,1,2,1,1,2,1,1,6,0
44,1,424,10,11,64,0,4,2,1,0,1,2,0,0,0,3,0
45,1,424,12,12,68,4,0,2,0,2,0,3,1,1,0,5,0
46,1,424,24,9,48,2,1,3,2,0,0,0,0,0,0,0,0
47,1,423,4,9,56,2,0,2,1,1,0,0,0,0,0,0,0
48,1,423,12,10,34,2,1,2,0,4,0,0,1,1,0,2,0
49,0,423,8,12,44,3,0,4,1,0,1,1,0,0,0,2,0
50,1,422,18,9,56,3,0,5,1,0,0,0,0,0,0,0,0
51,1,422,14,9,38,1,0,3,1,1,1,2,0,0,0,3,0
52,1,422,34,12,90,2,1,6,0,1,0,1,0,0,0,1,0
53,1,422,12,11,46,2,1,3,0,1,0,2,0,0,0,2,0
54,1,421,6,11,68,2,1,1,1,2,1,2,0,0,0,3,0
55,1,421,12,10,66,1,1,4,1,1,0,2,0,0,0,2,0
56,0,421,14,9,66,2,0,1,0,0,1,2,0,0,0,3,0
57,1,421,12,9,44,3,1,0,0,0,0,2,0,0,0,2,1
58,1,420,8,12,48,1,1,4,1,1,1,6,0,0,0,7,0
59,1,420,16,12,40,4,2,1,1,0,0,6,0,0,0,6,0
60,1,420,16,11,70,4,0,3,1,1,0,6,0,0,0,6,0
61,1,419,14,8,48,1,1,4,1,0,0,1,0,0,0,1,0
62,0,419,14,12,50,2,0,4,1,2,1,2,2,1,1,7,0
63,1,419,10,11,70,3,0,2,0,2,1,2,0,0,0,3,0
64,0,419,14,8,56,1,2,0,1,0,0,2,0,0,1,3,0
65,1,419,14,12,78,3,3,2,3,0,0,2,0,0,0,2,0
66,1,418,10,8,36,2,1,0,2,0,0,0,0,0,0,0,1
67,1,418,8,9,62,2,0,2,4,0,0,1,3,0,0,4,0
68,1,417,14,12,44,2,1,2,3,1,1,2,0,0,0,3,0
69,1,417,14,12,74,4,1,3,1,1,0,2,0,2,0,4,0
70,1,417,12,8,36,3,1,2,0,0,1,2,0,0,0,3,0
71,0,416,10,10,34,3,1,3,1,0,0,2,0,0,0,2,0
72,1,416,10,11,72,2,0,1,1,3,1,1,0,0,1,3,0
73,0,415,16,12,68,5,0,0,2,1,1,3,0,0,0,4,1
74,1,415,10,12,68,3,0,2,1,1,2,2,0,0,0,4,0
75,1,415,12,9,60,1,0,2,2,1,2,0,0,0,0,2,0
76,1,415,4,10,50,2,3,0,1,0,0,2,0,0,0,2,1
77,1,415,4,10,24,2,1,0,1,0,0,0,0,0,0,0,0
78,0,414,2,9,24,1,0,0,0,1,1,1,0,0,0,2,1
79,1,413,30,11,54,2,1,1,0,4,2,1,0,0,0,3,1
80,0,412,2,10,34,2,2,0,1,0,0,1,0,0,0,1,1
81,0,411,28,8,76,1,0,3,1,1,1,1,0,0,0,2,0
82,1,410,10,9,60,2,0,3,1,1,0,1,0,0,1,2,1
83,1,410,22,10,44,2,1,3,0,2,1,1,0,0,1,3,0
84,1,409,12,10,68,3,0,2,0,2,0,0,0,0,0,0,0
85,1,408,16,9,52,3,1,0,3,0,0,1,0,0,0,1,0
86,1,408,12,8,34,1,0,3,2,1,0,1,0,0,0,1,0
87,1,408,6,8,40,1,1,1,0,0,0,1,0,0,0,1,0
88,1,407,12,8,40,1,1,2,1,0,0,1,0,0,0,1,1
89,1,407,10,12,80,2,0,4,2,0,0,1,0,0,0,1,0
90,1,406,14,10,72,1,1,3,1,0,1,2,0,0,0,3,0
91,1,406,10,10,46,2,0,4,2,0,0,2,0,0,1,3,0
92,1,406,10,8,56,2,0,1,0,2,0,2,0,0,0,2,1
93,1,405,10,8,38,2,0,1,1,1,0,1,0,1,0,2,0
94,1,405,14,9,54,1,0,1,3,1,2,0,0,0,0,2,0
95,1,405,10,11,72,2,0,3,2,0,0,1,0,0,1,2,0
96,0,404,28,11,88,3,1,1,0,2,1,3,0,0,0,4,0
97,1,403,24,9,64,2,1,2,1,1,1,1,0,0,0,2,0
98,0,403,10,9,46,1,1,2,1,0,2,1,0,0,0,3,1
99,0,403,14,8,60,4,0,2,1,1,0,0,0,0,0,0,0
100,1,403,22,8,54,0,0,4,1,1,0,0,0,0,0,0,0
101,1,402,18,7,52,3,1,2,0,1,0,2,0,0,0,2,1
102,1,402,6,10,34,2,0,2,0,0,1,1,0,0,0,2,0
103,1,401,12,8,50,1,1,2,1,0,0,2,0,0,0,2,0
104,0,400,6,11,52,1,0,3,2,0,3,0,0,0,0,3,1
105,0,400,4,8,44,1,0,2,1,0,1,1,0,0,0,2,0
106,1,400,2,12,62,2,1,2,0,1,1,4,0,0,0,5,0
107,0,400,10,7,32,0,0,1,1,0,1,3,1,0,1,6,1
108,1,400,14,7,38,1,0,0,1,1,1,2,0,0,0,3,0
109,1,400,14,12,68,6,1,1,1,2,0,0,0,1,0,1,0
110,1,399,14,8,48,0,0,2,0,1,2,3,1,1,1,8,1
111,1,399,10,10,54,2,1,4,0,0,0,1,0,0,0,1,0
112,0,399,36,7,74,0,0,2,1,1,0,0,0,0,0,0,0
113,0,398,10,11,50,3,0,2,1,2,1,0,0,0,0,1,0
114,1,398,4,9,44,1,0,0,0,0,0,0,0,0,1,1,0
115,1,398,2,7,20,1,0,1,0,0,1,0,0,0,0,1,0
116,1,397,8,11,70,3,1,1,0,1,2,2,0,0,0,4,1
117,0,397,10,9,50,0,1,2,0,0,3,2,0,0,0,5,1
118,1,396,12,9,44,1,1,2,0,0,1,2,0,0,0,3,1
119,1,396,28,7,50,1,0,2,0,2,1,1,1,1,1,5,0
120,0,395,10,11,36,4,2,1,0,0,0,1,1,0,0,2,0
121,1,395,14,10,70,1,2,3,1,1,0,0,2,2,0,4,0
122,0,395,34,10,56,4,0,1,0,1,0,0,0,0,0,0,0
123,1,394,14,8,48,3,1,1,0,1,1,1,0,0,0,2,0
124,1,393,2,7,26,1,0,0,0,0,2,0,0,0,0,2,0
125,0,393,36,12,64,1,3,2,3,0,2,1,0,0,0,3,1
126,1,392,8,12,60,1,2,2,0,1,0,3,1,1,0,5,0
127,0,392,2,9,32,2,0,1,0,0,0,0,0,0,0,0,0
128,1,392,16,10,54,2,1,4,0,2,0,0,1,0,1,2,0
